FIPS,name,AVGhmid
13271,"Telfair County, GA",490
13273,"Terrell County, GA",732
13275,"Thomas County, GA",1332
13277,"Tift County, GA",996
13279,"Toombs County, GA",877
13281,"Towns County, GA",1556
13283,"Treutlen County, GA",608
13285,"Troup County, GA",1250
13287,"Turner County, GA",607
13289,"Twiggs County, GA",702
13291,"Union County, GA",1523
13293,"Upson County, GA",876
13295,"Walker County, GA",994
13297,"Walton County, GA",2141
13299,"Ware County, GA",672
13301,"Warren County, GA",587
13303,"Washington County, GA",952
13305,"Wayne County, GA",1006
13307,"Webster County, GA",689
13309,"Wheeler County, GA",636
13311,"White County, GA",1458
13313,"Whitfield County, GA",927
13315,"Wilcox County, GA",514
13317,"Wilkes County, GA",742
13319,"Wilkinson County, GA",692
13321,"Worth County, GA",825
15001,"Hawaii County, HI",2052
15003,"Honolulu County, HI",2762
15007,"Kauai County, HI",2343
15009,"Maui County, HI",2591
16001,"Ada County, ID",2318
16003,"Adams County, ID",1176
16005,"Bannock County, ID",1308
16007,"Bear Lake County, ID",1109
16009,"Benewah County, ID",877
16011,"Bingham County, ID",1163
16013,"Blaine County, ID",3082
16015,"Boise County, ID",2146
16017,"Bonner County, ID",1750
16019,"Bonneville County, ID",1572
16021,"Boundary County, ID",1084
16023,"Butte County, ID",881
16025,"Camas County, ID",1111
16027,"Canyon County, ID",1309
16029,"Caribou County, ID",1004
16031,"Cassia County, ID",849
16033,"Clark County, ID",328
16035,"Clearwater County, ID",889
16037,"Custer County, ID",999
16039,"Elmore County, ID",896
16041,"Franklin County, ID",1376
16043,"Fremont County, ID",1055
16045,"Gem County, ID",1366
16047,"Gooding County, ID",707
16049,"Idaho County, ID",981
16051,"Jefferson County, ID",1787
16053,"Jerome County, ID",897
16055,"Kootenai County, ID",2094
16057,"Latah County, ID",1345
16059,"Lemhi County, ID",1086
16061,"Lewis County, ID",746
16063,"Lincoln County, ID",632
16065,"Madison County, ID",1223
16067,"Minidoka County, ID",596
16069,"Nez Perce County, ID",1347
16071,"Oneida County, ID",1029
16073,"Owyhee County, ID",844
16075,"Payette County, ID",1256
16077,"Power County, ID",769
16079,"Shoshone County, ID",862
16081,"Teton County, ID",2231
16083,"Twin Falls County, ID",1195
16085,"Valley County, ID",2003
16087,"Washington County, ID",930
17001,"Adams County, IL",706
17003,"Alexander County, IL",237
17005,"Bond County, IL",854
17007,"Boone County, IL",1838
17009,"Brown County, IL",639
17011,"Bureau County, IL",670
17013,"Calhoun County, IL",731
17015,"Carroll County, IL",666
17017,"Cass County, IL",373
17019,"Champaign County, IL",1200
17021,"Christian County, IL",550
17023,"Clark County, IL",536
17025,"Clay County, IL",365
17027,"Clinton County, IL",1139
17029,"Coles County, IL",596
17031,"Cook County, IL",1909
17033,"Crawford County, IL",585
17035,"Cumberland County, IL",516
17037,"DeKalb County, IL",1695
17039,"De Witt County, IL",840
17041,"Douglas County, IL",579
17043,"DuPage County, IL",2915
17045,"Edgar County, IL",449
17047,"Edwards County, IL",330
17049,"Effingham County, IL",760
17051,"Fayette County, IL",517
17053,"Ford County, IL",650
17055,"Franklin County, IL",434
17057,"Fulton County, IL",521
17059,"Gallatin County, IL",337
17061,"Greene County, IL",391
17063,"Grundy County, IL",2076
17065,"Hamilton County, IL",397
17067,"Hancock County, IL",406
17069,"Hardin County, IL",301
17071,"Henderson County, IL",371
17073,"Henry County, IL",857
17075,"Iroquois County, IL",607
17077,"Jackson County, IL",680
17079,"Jasper County, IL",409
17081,"Jefferson County, IL",618
17083,"Jersey County, IL",1110
17085,"Jo Daviess County, IL",1036
17087,"Johnson County, IL",809
17089,"Kane County, IL",2584
17091,"Kankakee County, IL",1284
17093,"Kendall County, IL",3325
17095,"Knox County, IL",529
17097,"Lake County, IL",3007
17099,"LaSalle County, IL",1038
17101,"Lawrence County, IL",389
17103,"Lee County, IL",898
17105,"Livingston County, IL",802
17107,"Logan County, IL",702
17109,"McDonough County, IL",527
17111,"McHenry County, IL",2819
17113,"McLean County, IL",1680
17115,"Macon County, IL",794
17117,"Macoupin County, IL",741
17119,"Madison County, IL",1371
17121,"Marion County, IL",456
17123,"Marshall County, IL",713
17125,"Mason County, IL",433
17127,"Massac County, IL",657
17129,"Menard County, IL",1158
17131,"Mercer County, IL",829
17133,"Monroe County, IL",2057
17135,"Montgomery County, IL",587
17137,"Morgan County, IL",637
17139,"Moultrie County, IL",601
17141,"Ogle County, IL",1262
17143,"Peoria County, IL",1192
17145,"Perry County, IL",532
17147,"Piatt County, IL",1190
17149,"Pike County, IL",486
17151,"Pope County, IL",525
17153,"Pulaski County, IL",324
17155,"Putnam County, IL",855
17157,"Randolph County, IL",658
17159,"Richland County, IL",427
17161,"Rock Island County, IL",833
17163,"St. Clair County, IL",1329
17165,"Saline County, IL",483
17167,"Sangamon County, IL",1170
17169,"Schuyler County, IL",493
17171,"Scott County, IL",560
17173,"Shelby County, IL",550
17175,"Stark County, IL",497
17177,"Stephenson County, IL",724
17179,"Tazewell County, IL",1258
17181,"Union County, IL",789
17183,"Vermilion County, IL",465
17185,"Wabash County, IL",568
17187,"Warren County, IL",413
17189,"Washington County, IL",793
17191,"Wayne County, IL",380
17193,"White County, IL",405
17195,"Whiteside County, IL",680
17197,"Will County, IL",2864
17199,"Williamson County, IL",883
17201,"Winnebago County, IL",1113
17203,"Woodford County, IL",1561
18001,"Adams County, IN",597
18003,"Allen County, IN",1047
18005,"Bartholomew County, IN",1151
18007,"Benton County, IN",500
