GEO_ID,NAME,VALUE
8099,"Prowers County, Colorado",485
8101,"Pueblo County, Colorado",1057
8103,"Rio Blanco County, Colorado",695
8105,"Rio Grande County, Colorado",728
8107,"Routt County, Colorado",1755
8109,"Saguache County, Colorado",683
8111,"San Juan County, Colorado",748
8113,"San Miguel County, Colorado",1198
8115,"Sedgwick County, Colorado",574
8117,"Summit County, Colorado",1877
8119,"Teller County, Colorado",1294
8121,"Washington County, Colorado",754
8123,"Weld County, Colorado",1492
8125,"Yuma County, Colorado",818
9001,"Fairfield County, Connecticut",7680
9003,"Hartford County, Connecticut",5627
9005,"Litchfield County, Connecticut",4911
9007,"Middlesex County, Connecticut",5735
9009,"New Haven County, Connecticut",5841
9011,"New London County, Connecticut",4520
9013,"Tolland County, Connecticut",5590
9015,"Windham County, Connecticut",3757
10001,"Kent County, Delaware",1137
10003,"New Castle County, Delaware",1972
10005,"Sussex County, Delaware",908
11001,"District of Columbia, District of Columbia",3378
12001,"Alachua County, Florida",2088
12003,"Baker County, Florida",1066
12005,"Bay County, Florida",1253
12007,"Bradford County, Florida",851
12009,"Brevard County, Florida",1622
12011,"Broward County, Florida",2725
12013,"Calhoun County, Florida",521
12015,"Charlotte County, Florida",1842
12017,"Citrus County, Florida",985
12019,"Clay County, Florida",1565
12021,"Collier County, Florida",2560
12023,"Columbia County, Florida",1222
12027,"DeSoto County, Florida",1089
12029,"Dixie County, Florida",543
12031,"Duval County, Florida",1682
12033,"Escambia County, Florida",1093
12035,"Flagler County, Florida",1894
12037,"Franklin County, Florida",993
12039,"Gadsden County, Florida",781
12041,"Gilchrist County, Florida",840
12043,"Glades County, Florida",852
12045,"Gulf County, Florida",976
12047,"Hamilton County, Florida",687
12049,"Hardee County, Florida",921
12051,"Hendry County, Florida",1022
12053,"Hernando County, Florida",1186
12055,"Highlands County, Florida",920
12057,"Hillsborough County, Florida",2055
12059,"Holmes County, Florida",585
12061,"Indian River County, Florida",1613
12063,"Jackson County, Florida",605
12065,"Jefferson County, Florida",1059
12067,"Lafayette County, Florida",748
12069,"Lake County, Florida",1664
12071,"Lee County, Florida",2105
12073,"Leon County, Florida",1917
12075,"Levy County, Florida",778
12077,"Liberty County, Florida",836
12079,"Madison County, Florida",866
12081,"Manatee County, Florida",1994
12083,"Marion County, Florida",1276
12085,"Martin County, Florida",2496
12086,"Miami-Dade County, Florida",2700
12087,"Monroe County, Florida",3177
12089,"Nassau County, Florida",1853
12091,"Okaloosa County, Florida",1527
12093,"Okeechobee County, Florida",1124
12095,"Orange County, Florida",2183
12097,"Osceola County, Florida",1769
12099,"Palm Beach County, Florida",2908
12101,"Pasco County, Florida",1425
12103,"Pinellas County, Florida",1725
12105,"Polk County, Florida",1215
12107,"Putnam County, Florida",978
12109,"St. Johns County, Florida",2868
12111,"St. Lucie County, Florida",2043
12113,"Santa Rosa County, Florida",1399
12115,"Sarasota County, Florida",2063
12117,"Seminole County, Florida",2034
12119,"Sumter County, Florida",2343
12121,"Suwannee County, Florida",855
12123,"Taylor County, Florida",760
12125,"Union County, Florida",835
12127,"Volusia County, Florida",1624
12129,"Wakulla County, Florida",1073
12131,"Walton County, Florida",1221
12133,"Washington County, Florida",676
13001,"Appling County, Georgia",586
13003,"Atkinson County, Georgia",644
13005,"Bacon County, Georgia",770
13007,"Baker County, Georgia",685
13009,"Baldwin County, Georgia",1035
13011,"Banks County, Georgia",1140
13013,"Barrow County, Georgia",1404
13015,"Bartow County, Georgia",1284
13017,"Ben Hill County, Georgia",943
13019,"Berrien County, Georgia",948
13021,"Bibb County, Georgia",1447
13023,"Bleckley County, Georgia",969
13025,"Brantley County, Georgia",1116
13027,"Brooks County, Georgia",1340
13029,"Bryan County, Georgia",1905
13031,"Bulloch County, Georgia",1182
13033,"Burke County, Georgia",808
13035,"Butts County, Georgia",1332
13037,"Calhoun County, Georgia",746
13039,"Camden County, Georgia",1679
13043,"Candler County, Georgia",1075
13045,"Carroll County, Georgia",1043
13047,"Catoosa County, Georgia",1190
13049,"Charlton County, Georgia",782
13051,"Chatham County, Georgia",1961
